polypeptide_id,attr_type,value,value2
Q9BY49,go_classifier,component,cytosol
Q9BY49,go_classifier,function,signaling receptor binding
P17802,synonym,3.2.2.-,
P17802,synonym,3.2.2.31,
P17802,synonym,A/G-specific adenine glycosylase,
P17802,synonym,micA,
P17802,pfam,PF00633,HHH
P17802,pfam,PF00730,HhH-GPD
P17802,pfam,PF10576,EndIII_4Fe-2S
P17802,pfam,PF14815,NUDIX_4
P17802,go_classifier,function,"4 iron, 4 sulfur cluster binding"
P17802,go_classifier,function,DNA binding
P17802,go_classifier,function,DNA N-glycosylase activity
P17802,go_classifier,function,hydrolase activity
P17802,go_classifier,function,metal ion binding
P17802,go_classifier,process,base-excision repair
Q8RLY5,synonym,ndtA,
Q8RLY5,synonym,ntd_1,
Q8RLY5,synonym,Nucleoside deoxyribosyltransferase,
Q8RLY5,synonym,Nucleoside deoxyribosyltransferase-I,
Q8RLY5,synonym,Purine trans deoxyribosylase,
Q8RLY5,pfam,PF05014,Nuc_deoxyrib_tr
Q8RLY5,go_classifier,function,deoxyribonucleoside 5'-monophosphate N-glycosidase activity
Q8RLY5,go_classifier,function,nucleoside deoxyribosyltransferase activity
Q8RLY5,go_classifier,process,deoxyribonucleoside monophosphate catabolic process
P78362,synonym,2.7.11.1,
P78362,synonym,Serine/arginine-rich protein-specific kinase 2,
P78362,synonym,SFRS protein kinase 2,
P78362,synonym,SR-protein-specific kinase 2,
P78362,pfam,PF00069,Pkinase
P78362,go_classifier,component,chromatin
P78362,go_classifier,component,cytosol
P78362,go_classifier,component,nuclear speck
P78362,go_classifier,component,presynapse
P78362,go_classifier,function,protein serine kinase activity
P78362,go_classifier,function,RNA binding
P78362,go_classifier,process,peptidyl-serine phosphorylation
P78362,go_classifier,process,positive regulation of cell population proliferation
P78362,go_classifier,process,R-loop processing
P78362,go_classifier,process,regulation of mRNA processing
Q5SL87,synonym,3.6.4.-,
Q5SL87,synonym,3.6.4.12,
Q5SL87,synonym,Holliday junction ATP-dependent DNA helicase RuvB,
Q5SL87,pfam,PF05491,RuvB_C
Q5SL87,pfam,PF05496,RuvB_N
Q5SL87,go_classifier,function,ATP binding
Q5SL87,go_classifier,function,DNA binding
Q5SL87,go_classifier,function,four-way junction helicase activity
Q5SL87,go_classifier,process,DNA recombination
Q5SL87,go_classifier,process,DNA repair
Q5SL87,go_classifier,process,SOS response
P22309,synonym,2.4.1.17,
P22309,synonym,Bilirubin-specific UDPGT isozyme 1,
P22309,synonym,GNT1,
P22309,synonym,hUG-BR1,
P22309,synonym,UDP-glucuronosyltransferase 1-1,
P22309,synonym,UDP-glucuronosyltransferase 1A isoform 1,
P22309,synonym,UDPGT 1-1,
P22309,synonym,UGT1,
P22309,synonym,UGT1-01,
P22309,synonym,UGT1.1,
P22309,synonym,UGT1*1,
P22309,synonym,UGT1A1,
P22309,pfam,PF00201,UDPGT
P22309,go_classifier,component,perinuclear region of cytoplasm
P22309,go_classifier,component,plasma membrane
Q969I6,synonym,Amino acid transporter A3,
Q969I6,synonym,ATA3,
Q969I6,synonym,Na(+)-coupled neutral amino acid transporter 4,
Q969I6,synonym,NAT3,
Q969I6,synonym,SNAT4,
Q969I6,synonym,Solute carrier family 38 member 4,
Q969I6,synonym,System A amino acid transporter 3,
Q969I6,synonym,System N amino acid transporter 3,
Q969I6,pfam,PF01490,Aa_trans
Q969I6,go_classifier,component,microvillus membrane
Q969I6,go_classifier,function,alanine
Q969I6,go_classifier,function,amino acid
Q969I6,go_classifier,function,L-amino acid transmembrane transporter activity
Q969I6,go_classifier,function,L-arginine transmembrane transporter activity
Q969I6,go_classifier,function,neutral L-amino acid
Q969I6,go_classifier,process,L-alanine import across plasma membrane
Q969I6,go_classifier,process,neutral amino acid transport
O43776,synonym,6.1.1.22,
O43776,synonym,AsnRS,
O43776,synonym,Asparaginyl-tRNA synthetase,
O43776,synonym,Asparaginyl-tRNA synthetase 1,
O43776,synonym,NARS,
O43776,synonym,NRS,
O43776,pfam,PF00152,tRNA-synt_2
O43776,pfam,PF01336,tRNA_anti-codon
O43776,pfam,PF20917,AsnRS_N
O43776,go_classifier,function,CCR3 chemokine receptor binding
O43776,go_classifier,function,protein dimerization activity
O43776,go_classifier,process,cell migration
O43776,go_classifier,process,cerebral cortex development
Q96I59,synonym,6.1.1.22,
Q96I59,synonym,AsnRS,
Q96I59,synonym,"Asparagine--tRNA ligase, mitochondrial",
Q96I59,synonym,NARS2,
Q96I59,pfam,PF00152,tRNA-synt_2
Q96I59,pfam,PF01336,tRNA_anti-codon
Q96I59,go_classifier,component,cytosol
Q96I59,go_classifier,component,nucleoplasm
Q92769,synonym,3.5.1.98,
Q92769,synonym,HD2,
Q92769,synonym,Protein deacylase HDAC2,
Q92769,pfam,PF00850,Hist_deacetyl
Q92769,go_classifier,component,chromatin
Q92769,go_classifier,component,"chromosome, telomeric region"
Q92769,go_classifier,component,histone deacetylase complex
Q92769,go_classifier,component,protein-containing complex
Q92769,go_classifier,component,Sin3-type complex
Q92769,go_classifier,function,heat shock protein binding
Q92769,go_classifier,function,histone binding
Q92769,go_classifier,function,histone deacetylase binding
Q92769,go_classifier,function,histone decrotonylase activity
Q92769,go_classifier,function,promoter-specific chromatin binding
Q92769,go_classifier,function,protein de-2-hydroxyisobutyrylase activity
Q92769,go_classifier,function,protein lysine deacetylase activity
Q92769,go_classifier,function,protein lysine delactylase activity
Q92769,go_classifier,function,RNA binding
Q92769,go_classifier,function,RNA polymerase II-specific DNA-binding transcription factor binding
Q92769,go_classifier,process,heterochromatin formation
Q92769,go_classifier,process,negative regulation of cell migration
Q92769,go_classifier,process,negative regulation of DNA-templated transcription
Q92769,go_classifier,process,negative regulation of stem cell population maintenance
Q92769,go_classifier,process,negative regulation of transcription by competitive promoter binding
Q92769,go_classifier,process,negative regulation of transcription by RNA polymerase II
Q92769,go_classifier,process,negative regulation of transforming growth factor beta receptor signaling pathway
Q92769,go_classifier,process,positive regulation of cell population proliferation
Q92769,go_classifier,process,positive regulation of DNA-templated transcription
Q92769,go_classifier,process,positive regulation of male mating behavior
Q92769,go_classifier,process,positive regulation of stem cell population maintenance
Q92769,go_classifier,process,positive regulation of transcription by RNA polymerase II
Q92769,go_classifier,process,protein modification process
Q92769,go_classifier,process,regulation of cell fate specification
Q92769,go_classifier,process,regulation of stem cell differentiation
Q92769,go_classifier,process,response to amyloid-beta
Q92769,go_classifier,process,response to xenobiotic stimulus
O94956,synonym,KIAA0880,
O94956,synonym,OATP-B,
O94956,synonym,OATP-RP2,
O94956,synonym,OATP2B1,
O94956,synonym,OATPB,
O94956,synonym,OATPRP2,
O94956,synonym,Organic anion transporter B,
O94956,synonym,Organic anion transporter polypeptide-related protein 2,
O94956,synonym,Organic anion transporting polypeptide 2B1,
O94956,synonym,SLC21A9,
O94956,synonym,Solute carrier family 21 member 9,
O94956,pfam,PF03137,OATP
O94956,go_classifier,component,apical plasma membrane
O94956,go_classifier,component,basal plasma membrane
O94956,go_classifier,component,basolateral plasma membrane
O94956,go_classifier,function,prostaglandin transmembrane transporter activity
O94956,go_classifier,function,transmembrane transporter activity
O94956,go_classifier,process,heme catabolic process
O94956,go_classifier,process,monoatomic ion transport
O94956,go_classifier,process,organic anion transport
O94956,go_classifier,process,transport across blood-brain barrier
O94956,go_classifier,process,xenobiotic metabolic process
P46721,synonym,OATP,
P46721,synonym,OATP-1,
P46721,synonym,OATP-A,
P46721,synonym,OATP1,
P46721,synonym,OATP1A2,
P46721,synonym,Organic anion-transporting polypeptide 1,
P46721,synonym,SLC21A3,
P46721,synonym,Sodium-independent organic anion transporter,
P46721,synonym,Solute carrier family 21 member 3,
P46721,pfam,PF07648,Kazal_2
P46721,pfam,PF03137,OATP
P46721,go_classifier,component,apical plasma membrane
P46721,go_classifier,component,basal plasma membrane
P46721,go_classifier,component,basolateral plasma membrane
P46721,go_classifier,function,organic cation transmembrane transporter activity
P46721,go_classifier,function,transmembrane transporter activity
P46721,go_classifier,process,monoatomic ion transport
P46721,go_classifier,process,xenobiotic metabolic process
Q9Y694,synonym,hOAT2,
Q9Y694,synonym,NLT,
Q9Y694,synonym,Novel liver transporter,
Q9Y694,synonym,OAT2,
Q9Y694,synonym,Organic anion transporter 2,
Q9Y694,pfam,PF07690,MFS_1
Q9Y694,go_classifier,component,apical plasma membrane
Q9Y694,go_classifier,component,basal plasma membrane
Q9Y694,go_classifier,component,cytosol
Q9Y694,go_classifier,function,alpha-ketoglutarate transmembrane transporter activity
Q9Y694,go_classifier,function,organic anion transmembrane transporter activity
Q9Y694,go_classifier,function,prostaglandin transmembrane transporter activity
Q9Y694,go_classifier,function,transmembrane transporter activity
Q9Y694,go_classifier,process,alpha-ketoglutarate transport
Q9Y694,go_classifier,process,monoatomic ion transport
Q9Y694,go_classifier,process,prostaglandin transport
Q9Y694,go_classifier,process,xenobiotic metabolic process
P31645,synonym,5HT transporter,
P31645,synonym,5HTT,
P31645,synonym,HTT,
P31645,synonym,SERT,
P31645,synonym,Solute carrier family 6 member 4,
P31645,pfam,PF00209,SNF
P31645,pfam,PF03491,5HT_transport_N
P31645,go_classifier,component,focal adhesion
P31645,go_classifier,component,postsynaptic membrane
P31645,go_classifier,component,presynaptic membrane
P31645,go_classifier,component,serotonergic synapse
P31645,go_classifier,component,synapse
P31645,go_classifier,function,antiporter activity
P31645,go_classifier,function,identical protein binding
P31645,go_classifier,function,integrin binding
P31645,go_classifier,function,monoatomic cation channel activity
P31645,go_classifier,function,neurotransmitter transmembrane transporter activity
P31645,go_classifier,function,nitric-oxide synthase binding
P31645,go_classifier,function,serotonin binding
P31645,go_classifier,function,sodium ion binding
P31645,go_classifier,function,syntaxin-1 binding
P31645,go_classifier,process,amino acid transport
P31645,go_classifier,process,behavioral response to cocaine
P31645,go_classifier,process,conditioned place preference
P31645,go_classifier,process,enteric nervous system development
P31645,go_classifier,process,membrane depolarization
P31645,go_classifier,process,neurotransmitter transport
P31645,go_classifier,process,platelet aggregation
P31645,go_classifier,process,positive regulation of serotonin secretion
P31645,go_classifier,process,regulation of thalamus size
P31645,go_classifier,process,response to xenobiotic stimulus
P31645,go_classifier,process,sodium ion transmembrane transport
Q12809,synonym,Eag homolog,
Q12809,synonym,Eag-related protein 1,
Q12809,synonym,ERG,
Q12809,synonym,ERG-1,
Q12809,synonym,ERG1,
Q12809,synonym,Ether-a-go-go-related gene potassium channel 1,
Q12809,synonym,Ether-a-go-go-related protein 1,
Q12809,synonym,H-ERG,
Q12809,synonym,HERG,
Q12809,synonym,hERG-1,
Q12809,synonym,hERG1,
Q12809,synonym,Potassium voltage-gated channel subfamily H member 2,
Q12809,synonym,Voltage-gated potassium channel subunit Kv11.1,
Q12809,pfam,PF00520,Ion_trans
Q12809,pfam,PF00027,cNMP_binding
Q12809,pfam,PF13426,PAS_9
Q12809,go_classifier,component,inward rectifier potassium channel complex
Q12809,go_classifier,function,transcription cis-regulatory region binding
Q12809,go_classifier,process,cellular response to xenobiotic stimulus
Q12809,go_classifier,process,membrane repolarization
Q12809,go_classifier,process,membrane repolarization during ventricular cardiac muscle cell action potential
Q12809,go_classifier,process,negative regulation of potassium ion export across plasma membrane
Q12809,go_classifier,process,positive regulation of DNA-templated transcription
Q12809,go_classifier,process,potassium ion import across plasma membrane
Q12809,go_classifier,process,potassium ion transport
Q9HB55,synonym,1.14.14.1,
Q9HB55,pfam,PF00067,p450
Q9HB55,go_classifier,function,estrogen 16-alpha-hydroxylase activity
Q9HB55,go_classifier,function,testosterone 6-beta-hydroxylase activity
Q9HB55,go_classifier,process,cytochrome metabolic process
Q9HB55,go_classifier,process,oxidative demethylation
Q9HB55,go_classifier,process,steroid metabolic process
P30556,synonym,AGTR1A,
P30556,synonym,AGTR1B,
P30556,synonym,Angiotensin II type-1 receptor,
P30556,synonym,AT1 receptor,
P30556,synonym,AT1AR,
P30556,synonym,AT1BR,
P30556,synonym,AT2R1,
P30556,synonym,AT2R1B,
P30556,pfam,PF00001,7tm_1
P30556,go_classifier,component,membrane
P30556,go_classifier,process,blood vessel diameter maintenance
P30556,go_classifier,process,G protein-coupled receptor signaling pathway
P30556,go_classifier,process,inflammatory response
P30556,go_classifier,process,maintenance of blood vessel diameter homeostasis by renin-angiotensin
P30556,go_classifier,process,phospholipase C-activating G protein-coupled receptor signaling pathway
P30556,go_classifier,process,positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
P30556,go_classifier,process,regulation of cell population proliferation
P30556,go_classifier,process,symbiont entry into host cell
P12821,synonym,3.4.15.1,
P12821,synonym,ACE,
P12821,synonym,DCP,
P12821,synonym,DCP1,
P12821,synonym,Dipeptidyl carboxypeptidase I,
P12821,synonym,Kininase II,
P12821,pfam,PF01401,Peptidase_M2
P12821,go_classifier,function,calmodulin binding
P12821,go_classifier,function,metallodipeptidase activity
P12821,go_classifier,function,metalloendopeptidase activity
P12821,go_classifier,function,peptidase activity
P12821,go_classifier,process,amyloid-beta metabolic process
P12821,go_classifier,process,angiotensin-activated signaling pathway
P12821,go_classifier,process,arachidonate secretion
P12821,go_classifier,process,blood vessel diameter maintenance
P12821,go_classifier,process,bradykinin catabolic process
P12821,go_classifier,process,hormone metabolic process
P12821,go_classifier,process,male gonad development
P12821,go_classifier,process,negative regulation of gene expression
P12821,go_classifier,process,positive regulation of systemic arterial blood pressure
P12821,go_classifier,process,post-transcriptional regulation of gene expression
P12821,go_classifier,process,proteolysis
P12821,go_classifier,process,regulation of heart rate by cardiac conduction
P12821,go_classifier,process,regulation of synaptic plasticity
P12821,go_classifier,process,substance P catabolic process
P46663,synonym,B1R,
P46663,synonym,BK-1 receptor,
P46663,synonym,BRADYB1,
P46663,pfam,PF00001,7tm_1
P46663,go_classifier,process,G protein-coupled receptor signaling pathway
P46059,synonym,Intestinal H(+)/peptide cotransporter,
P46059,synonym,"Oligopeptide transporter, small intestine isoform",
P46059,synonym,PEPT1,
P46059,synonym,Peptide transporter 1,
P46059,pfam,PF00854,PTR2
P46059,go_classifier,component,apical plasma membrane
P46059,go_classifier,function,dipeptide transmembrane transporter activity
P46059,go_classifier,function,tripeptide transmembrane transporter activity
P46059,go_classifier,process,dipeptide import across plasma membrane
P46059,go_classifier,process,monoatomic ion transport
P46059,go_classifier,process,tripeptide import across plasma membrane
Q16348,synonym,Kidney H(+)/peptide cotransporter,
Q16348,synonym,"Oligopeptide transporter, kidney isoform",
Q16348,synonym,PEPT2,
Q16348,synonym,Peptide transporter 2,
Q16348,pfam,PF00854,PTR2
Q16348,go_classifier,component,apical plasma membrane
Q16348,go_classifier,component,phagocytic vesicle membrane
Q16348,go_classifier,function,dipeptide transmembrane transporter activity
Q16348,go_classifier,function,tripeptide transmembrane transporter activity
Q16348,go_classifier,process,antibacterial innate immune response
Q16348,go_classifier,process,dipeptide import across plasma membrane
Q16348,go_classifier,process,dipeptide transport
Q16348,go_classifier,process,peptidoglycan transport
Q16348,go_classifier,process,"regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway"
Q16348,go_classifier,process,renal absorption
Q16348,go_classifier,process,transport across blood-brain barrier
Q16348,go_classifier,process,tripeptide import across plasma membrane
Q16348,go_classifier,process,xenobiotic detoxification by transmembrane export across the plasma membrane
Q16348,go_classifier,process,xenobiotic transport
Q96QT4,synonym,2.7.11.1,
Q96QT4,synonym,CHAK1,
Q96QT4,synonym,Channel-kinase 1,
Q96QT4,synonym,Long transient receptor potential channel 7,
Q96QT4,synonym,LTrpC-7,
Q96QT4,synonym,LTRPC7,
Q96QT4,pfam,PF00520,Ion_trans
Q96QT4,pfam,PF16519,TRPM_tetra
Q96QT4,pfam,PF02816,Alpha_kinase
Q96QT4,pfam,PF18139,LSDAT_euk
Q96QT4,go_classifier,component,cytoplasmic vesicle
Q96QT4,go_classifier,component,cytoplasmic vesicle membrane
Q96QT4,go_classifier,component,nucleus
Q96QT4,go_classifier,function,actin binding
Q96QT4,go_classifier,function,magnesium ion transmembrane transporter activity
Q96QT4,go_classifier,function,myosin binding
Q96QT4,go_classifier,function,protein serine kinase activity
Q96QT4,go_classifier,function,zinc ion transmembrane transporter activity
Q96QT4,go_classifier,process,calcium ion transport
Q96QT4,go_classifier,process,intracellular magnesium ion homeostasis
Q96QT4,go_classifier,process,magnesium ion homeostasis
Q96QT4,go_classifier,process,magnesium ion transport
Q96QT4,go_classifier,process,monoatomic cation homeostasis
Q96QT4,go_classifier,process,monoatomic cation transmembrane transport
Q96QT4,go_classifier,process,protein autophosphorylation
Q96QT4,go_classifier,process,protein homotetramerization
Q96QT4,go_classifier,process,protein phosphorylation
Q96QT4,go_classifier,process,zinc ion transport
P04150,synonym,GR,
P04150,synonym,GRL,
P04150,synonym,Nuclear receptor subfamily 3 group C member 1,
P04150,pfam,PF00104,Hormone_recep
P04150,pfam,PF00105,zf-C4
P04150,pfam,PF02155,GCR
P04150,go_classifier,component,centrosome
P04150,go_classifier,component,chromatin
P04150,go_classifier,component,cytosol
P04150,go_classifier,component,membrane
P04150,go_classifier,component,nuclear speck
P04150,go_classifier,component,protein-containing complex
P04150,go_classifier,component,spindle
P04150,go_classifier,component,synapse
P04150,go_classifier,function,core promoter sequence-specific DNA binding
P04150,go_classifier,function,"DNA-binding transcription activator activity, RNA polymerase II-specific"
P04150,go_classifier,function,DNA-binding transcription factor activity
P04150,go_classifier,function,"DNA-binding transcription factor activity, RNA polymerase II-specific"
P04150,go_classifier,function,"DNA-binding transcription repressor activity, RNA polymerase II-specific"
P04150,go_classifier,function,estrogen response element binding
P04150,go_classifier,function,Hsp90 protein binding
P04150,go_classifier,function,identical protein binding
P04150,go_classifier,function,nuclear glucocorticoid receptor activity
P04150,go_classifier,function,nuclear receptor activity
P04150,go_classifier,function,protein kinase binding
P04150,go_classifier,function,RNA binding
P04150,go_classifier,function,RNA polymerase II cis-regulatory region sequence-specific DNA binding
P04150,go_classifier,function,RNA polymerase II transcription regulatory region sequence-specific DNA binding
P04150,go_classifier,function,sequence-specific double-stranded DNA binding
P04150,go_classifier,function,TBP-class protein binding
P04150,go_classifier,process,adrenal gland development
P04150,go_classifier,process,apoptotic process
P04150,go_classifier,process,astrocyte differentiation
P04150,go_classifier,process,cell division
P04150,go_classifier,process,cellular response to dexamethasone stimulus
P04150,go_classifier,process,cellular response to glucocorticoid stimulus
P04150,go_classifier,process,cellular response to transforming growth factor beta stimulus
P04150,go_classifier,process,chromatin organization
P04150,go_classifier,process,chromosome segregation
P04150,go_classifier,process,glucocorticoid metabolic process
P04150,go_classifier,process,mammary gland duct morphogenesis
P04150,go_classifier,process,maternal behavior
P04150,go_classifier,process,microglia differentiation
P04150,go_classifier,process,motor behavior
P04150,go_classifier,process,negative regulation of DNA-templated transcription
P04150,go_classifier,process,negative regulation of transcription by RNA polymerase II
P04150,go_classifier,process,neuroinflammatory response
P04150,go_classifier,process,nuclear receptor-mediated steroid hormone signaling pathway
P04150,go_classifier,process,positive regulation of miRNA transcription
P04150,go_classifier,process,positive regulation of neuron apoptotic process
P04150,go_classifier,process,positive regulation of transcription by RNA polymerase II
P04150,go_classifier,process,regulation of DNA-templated transcription
P04150,go_classifier,process,regulation of glucocorticoid biosynthetic process
P04150,go_classifier,process,regulation of gluconeogenesis
P04150,go_classifier,process,regulation of transcription by RNA polymerase II
P04150,go_classifier,process,"synaptic transmission, glutamatergic"
P08185,synonym,CBG,
P08185,synonym,Serpin A6,
P08185,synonym,Transcortin,
P08185,pfam,PF00079,Serpin
P08185,go_classifier,component,extracellular region
O75899,synonym,G-protein coupled receptor 51,
O75899,synonym,GABA-B receptor 2,
O75899,synonym,GABA-B-R2,
O75899,synonym,GABA-BR2,
O75899,synonym,GABABR2,
O75899,synonym,Gb2,
O75899,synonym,GPR51,
O75899,synonym,GPRC3B,
O75899,synonym,HG20,
O75899,pfam,PF00003,7tm_3
O75899,pfam,PF01094,ANF_receptor
O75899,pfam,PF18455,GBR2_CC
O75899,go_classifier,component,G protein-coupled GABA receptor complex
O75899,go_classifier,component,G protein-coupled receptor heterodimeric complex
O75899,go_classifier,component,GABA receptor complex
O75899,go_classifier,function,G protein-coupled GABA receptor activity
O75899,go_classifier,function,protein heterodimerization activity
O75899,go_classifier,function,transmembrane signaling receptor activity
O75899,go_classifier,process,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
O75899,go_classifier,process,chemical synaptic transmission
O75899,go_classifier,process,G protein-coupled receptor signaling pathway
O75899,go_classifier,process,neuron-glial cell signaling
O75899,go_classifier,process,"synaptic transmission, GABAergic"
Q9UBS5,synonym,GABA-B receptor 1,
Q9UBS5,synonym,GABA-B-R1,
Q9UBS5,synonym,GABA-BR1,
Q9UBS5,synonym,GABABR1,
Q9UBS5,synonym,Gb1,
Q9UBS5,synonym,GPRC3A,
Q9UBS5,pfam,PF00003,7tm_3
Q9UBS5,pfam,PF01094,ANF_receptor
Q9UBS5,pfam,PF00084,Sushi
Q9UBS5,go_classifier,component,G protein-coupled GABA receptor complex
Q9UBS5,go_classifier,component,G protein-coupled receptor heterodimeric complex
Q9UBS5,go_classifier,component,GABA-ergic synapse
Q9UBS5,go_classifier,component,Schaffer collateral - CA1 synapse
Q9UBS5,go_classifier,function,G protein-coupled GABA receptor activity
Q9UBS5,go_classifier,function,G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential
Q9UBS5,go_classifier,function,G protein-coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential
Q9UBS5,go_classifier,process,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
Q9UBS5,go_classifier,process,neuron-glial cell signaling
Q9UBS5,go_classifier,process,"synaptic transmission, GABAergic"
P61073,synonym,CXC-R4,
P61073,synonym,CXCR-4,
P61073,synonym,FB22,
P61073,synonym,Fusin,
P61073,synonym,HM89,
P61073,synonym,LAP-3,
P61073,synonym,LCR1,
P61073,synonym,LESTR,
P61073,synonym,Leukocyte-derived seven transmembrane domain receptor,
P61073,synonym,Lipopolysaccharide-associated protein 3,
P61073,synonym,LPS-associated protein 3,
P61073,synonym,NPYRL,
P61073,synonym,SDF-1 receptor,
P61073,synonym,Stromal cell-derived factor 1 receptor,
P61073,pfam,PF00001,7tm_1
P61073,pfam,PF12109,CXCR4_N
P61073,go_classifier,component,anchoring junction
P61073,go_classifier,component,external side of plasma membrane
P61073,go_classifier,component,protein-containing complex
P61073,go_classifier,function,C-C chemokine binding
P61073,go_classifier,function,C-C chemokine receptor activity
P61073,go_classifier,function,C-X-C motif chemokine 12 receptor activity
P61073,go_classifier,function,G protein-coupled receptor activity
P61073,go_classifier,process,brain development
P61073,go_classifier,process,cell chemotaxis
P61073,go_classifier,process,CXCL12-activated CXCR4 signaling pathway
P61073,go_classifier,process,G protein-coupled receptor signaling pathway
P61073,go_classifier,process,immune response
P61073,go_classifier,process,neurogenesis
P61073,go_classifier,process,positive regulation of cell migration
P61073,go_classifier,process,positive regulation of cold-induced thermogenesis
P61073,go_classifier,process,positive regulation of macrophage migration inhibitory factor signaling pathway
P61073,go_classifier,process,positive regulation of vasculature development
P61073,go_classifier,process,regulation of cell adhesion
Q05940,synonym,Solute carrier family 18 member 2,
Q05940,synonym,SVMT,
Q05940,synonym,VAT2,
Q05940,synonym,Vesicular amine transporter 2,
Q05940,synonym,Vesicular monoamine transporter 2,
Q05940,synonym,VMAT2,
Q05940,pfam,PF07690,MFS_1
Q05940,go_classifier,component,axon
Q05940,go_classifier,component,centrosome
Q05940,go_classifier,component,dendrite
Q05940,go_classifier,component,dopaminergic synapse
Q05940,go_classifier,component,intracellular membrane-bounded organelle
Q05940,go_classifier,component,secretory granule membrane
Q05940,go_classifier,component,synaptic vesicle membrane
Q05940,go_classifier,component,terminal bouton
Q05940,go_classifier,function,monoamine
Q05940,go_classifier,function,serotonin
Q05940,go_classifier,process,aminergic neurotransmitter loading into synaptic vesicle
Q05940,go_classifier,process,chemical synaptic transmission
Q05940,go_classifier,process,histamine secretion by mast cell
Q05940,go_classifier,process,histamine uptake
Q05940,go_classifier,process,neurotransmitter transport
Q05940,go_classifier,process,serotonin secretion by mast cell
Q05940,go_classifier,process,serotonin uptake
Q05940,go_classifier,process,somato-dendritic dopamine secretion
Q01959,synonym,DA transporter,
Q01959,synonym,DAT,
Q01959,synonym,DAT1,
Q01959,synonym,Solute carrier family 6 member 3,
Q01959,pfam,PF00209,SNF
Q01959,go_classifier,component,axon terminus
Q01959,go_classifier,component,dopaminergic synapse
Q01959,go_classifier,component,membrane
Q01959,go_classifier,component,membrane raft
Q01959,go_classifier,component,neuron projection
Q01959,go_classifier,component,postsynaptic membrane
Q01959,go_classifier,component,presynaptic membrane
Q01959,go_classifier,function,amine binding
Q01959,go_classifier,function,heterocyclic compound binding
Q01959,go_classifier,function,metal ion binding
Q01959,go_classifier,function,neurotransmitter transmembrane transporter activity
Q01959,go_classifier,function,norepinephrine
Q01959,go_classifier,function,protease binding
Q01959,go_classifier,function,protein phosphatase 2A binding
Q01959,go_classifier,function,protein-containing complex binding
Q01959,go_classifier,function,signaling receptor binding
Q01959,go_classifier,process,amino acid transport
Q01959,go_classifier,process,cognition
Q01959,go_classifier,process,dopamine uptake
Q01959,go_classifier,process,hyaloid vascular plexus regression
Q01959,go_classifier,process,neurotransmitter transport
Q01959,go_classifier,process,response to cAMP
Q01959,go_classifier,process,response to ethanol
Q01959,go_classifier,process,response to iron ion
Q01959,go_classifier,process,response to nicotine
Q01959,go_classifier,process,response to xenobiotic stimulus
Q01959,go_classifier,process,sodium ion transmembrane transport
Q16568,synonym,CART,
Q16568,pfam,PF06373,CART
Q16568,go_classifier,component,synapse
Q16568,go_classifier,function,neuropeptide hormone activity
Q16568,go_classifier,process,chemical synaptic transmission
Q16568,go_classifier,process,G protein-coupled receptor signaling pathway
Q16568,go_classifier,process,intracellular glucose homeostasis
Q16568,go_classifier,process,positive regulation of MAPK cascade
Q96RJ0,synonym,TA1,
Q96RJ0,synonym,TaR-1,
Q96RJ0,synonym,TAR1,
Q96RJ0,synonym,Trace amine receptor 1,
Q96RJ0,synonym,TRAR1,
Q96RJ0,pfam,PF00001,7tm_1
Q96RJ0,go_classifier,component,endomembrane system
Q96RJ0,go_classifier,component,endoplasmic reticulum membrane
Q96RJ0,go_classifier,function,G protein-coupled receptor activity
Q96RJ0,go_classifier,process,adenylate cyclase-activating G protein-coupled receptor signaling pathway
Q96RJ0,go_classifier,process,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
Q96RJ0,go_classifier,process,G protein-coupled receptor signaling pathway
Q96RJ0,go_classifier,process,phospholipase C-activating G protein-coupled receptor signaling pathway
P27338,synonym,1.4.3.21,
P27338,synonym,1.4.3.4,
P27338,synonym,MAO-B,
P27338,synonym,Monoamine oxidase type B,
P27338,pfam,PF01593,Amino_oxidase
P27338,go_classifier,function,electron transfer activity
P27338,go_classifier,function,monoamine oxidase activity
P27338,go_classifier,function,primary methylamine oxidase activity
P23975,synonym,NAT1,
P23975,synonym,NET,
P23975,synonym,NET1,
P23975,synonym,Norepinephrine transporter,
P23975,synonym,SLC6A5,
P23975,synonym,Solute carrier family 6 member 2,
P23975,pfam,PF00209,SNF
P23975,go_classifier,component,axon
P23975,go_classifier,component,cell surface
P23975,go_classifier,component,neuronal cell body membrane
P23975,go_classifier,component,presynaptic membrane
P23975,go_classifier,component,synaptic vesicle membrane
P23975,go_classifier,function,actin binding
P23975,go_classifier,function,alpha-tubulin binding
P23975,go_classifier,function,beta-tubulin binding
P23975,go_classifier,function,dopamine
P23975,go_classifier,function,metal ion binding
P23975,go_classifier,function,neurotransmitter
P23975,go_classifier,function,neurotransmitter transmembrane transporter activity
P23975,go_classifier,process,amino acid transport
P23975,go_classifier,process,chemical synaptic transmission
P23975,go_classifier,process,dopamine uptake involved in synaptic transmission
